Date,Mileage,Mileage in period,,,,,,
20/12/2019,0,,,,,,,
04/03/2020,3142,3142,,,,,,
09/03/2020,3315,173,,,,,,
16/03/2020,3446,131,,,,,,
23/03/2020,3612,166,,,,,,
30/03/2020,3627,15,,,,,,
06/04/2020,3751,124,,,,,,
13/04/2020,3780,29,,,,,,
20/04/2020,3841,61,,,,,,
27/04/2020,3841,0,,,,,,
04/05/2020,3873,32,,,,,,
11/05/2020,3893,20,,,,,,
18/05/2020,3916,23,,,,,,
25/05/2020,3923,7,,,,,,
01/06/2020,4015,92,,,,,,
08/06/2020,4100,85,,,,,,
15/06/2020,4274,174,,,,,,
22/06/2020,4383,109,,,,,,
29/06/2020,4533,150,,,,,,
06/07/2020,4671,138,,,,,,
13/07/2020,4974,303,,,,,,
20/07/2020,5031,57,,,,,,
27/07/2020,5056,25,,,,,,
03/08/2020,5056,0,,,,,,
10/08/2020,5056,0,,,,,,
17/08/2020,5125,69,,,,,,
24/08/2020,5290,165,,,,,,
31/08/2020,5349,59,,,,,,
07/09/2020,5410,61,,,,,,
14/09/2020,5522,112,,,,,,
21/09/2020,5683,161,,,,,,
28/09/2020,5821,138,,,,,,
05/10/2020,5854,33,,,,,,
12/10/2020,5966,112,,,,,,
19/10/2020,6316,350,,,,,,
26/10/2020,6402,86,,,,,,
02/11/2020,6515,113,,,,,,
09/11/2020,6533,18,,,,,,
16/11/2020,,,,,,,,
23/11/2020,,,,,,,,
30/11/2020,,,,,,,,
07/12/2020,,,,,,,,
14/12/2020,,,,,,,,
21/12/2020,,,,,,,,
